@relation 'epit.train-weka.filters.unsupervised.attribute.Remove-R13,56-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.Remove-R1_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute 0.241ProtFP2.1+0.239KF2.1+0.233T1.1+0.233ST1.1+0.232VHSE3.1... numeric
@attribute -0.294Z1.1+0.258VHSE1.1+0.241MSWHIM2.1-0.236BLOSUM1.1+0.234ProtFP1.1... numeric
@attribute 0.287ProtFP3.1+0.274VHSE4.1+0.239BLOSUM7.1-0.239T3.1+0.236Z4.1... numeric
@attribute 0.292ProtFP6.1-0.248VHSE8.1+0.236BLOSUM6.1-0.232Z3.1-0.231F5.1... numeric
@attribute 0.331ProtFP4.1-0.282KF8.1-0.238BLOSUM8.1-0.231ST3.1-0.227MSWHIM1.1... numeric
@attribute -0.378ProtFP5.1-0.287KF3.1-0.235BLOSUM4.1-0.212KF1.1+0.205Z5.1... numeric
@attribute '-0.453ProtFP7.1+0.314KF6.1+0.29 BLOSUM10.1+0.264BLOSUM9.1+0.257ST7.1...' numeric
@attribute 0.455ProtFP8.1-0.394BLOSUM10.1+0.329BLOSUM9.1+0.317KF10.1-0.274KF6.1... numeric
@attribute -0.466KF10.1+0.319ProtFP8.1+0.304BLOSUM9.1-0.252ST7.1+0.235MSWHIM2.1... numeric
@attribute '0.373Z5.1-0.317ST4.1-0.264KF7.1-0.264ProtFP8.1+0.26 BLOSUM4.1...' numeric
@attribute -0.348BLOSUM10.1-0.28BLOSUM9.1-0.241ProtFP7.1+0.239T4.1+0.236KF5.1... numeric
@attribute -0.613KF5.1+0.315F1.1-0.273KF10.1+0.265KF7.1-0.211BLOSUM9.1... numeric
@attribute Class {Negative,Positive}

@data
-0.45624,-5.766622,-0.847285,-4.21461,1.734952,-0.849564,-0.54242,-1.107085,-0.445847,1.298549,-0.046226,-1.095354,Negative
8.893021,-0.874069,1.569935,0.844414,1.169463,-1.385437,1.013571,-0.710866,2.686188,-0.241057,1.258259,1.449002,Negative
8.302575,-3.532696,0.062896,-2.1442,-5.38452,-2.680803,-0.196116,0.008525,-0.438943,1.097635,-1.790857,0.852713,Positive
-4.44114,5.980088,-0.213925,1.190917,-3.905461,2.258243,0.012799,0.554545,-0.168575,-0.039869,0.535064,0.122088,Positive
1.186846,-4.390577,0.549323,-1.917635,-0.267659,0.501054,1.819623,-0.87319,-0.009103,-0.360406,-2.933604,0.290052,Negative
-6.946674,-0.326439,-1.423845,3.548375,-1.95662,0.435874,-2.295476,-1.649878,0.42961,-1.263941,0.370482,0.442527,Positive
-5.148567,-0.032886,-2.57,-6.678393,2.799926,-1.791208,-0.197591,1.110311,-1.925307,-0.905287,0.580379,0.113391,Negative
-2.712593,-3.021365,-0.645842,-0.600402,-5.330007,-1.274971,1.365705,0.753902,0.690575,0.486898,-1.565629,-1.306542,Negative
5.381096,1.872856,-1.39429,-0.339056,-0.382888,1.197133,-1.516414,-1.418546,0.876126,-0.449222,0.756123,1.062776,Negative
-1.262428,0.847454,-5.109266,1.802314,3.227512,0.035919,-1.791267,-1.08946,-0.713443,-0.515351,-0.925411,-0.926748,Positive
-3.512888,6.623081,-2.005459,2.336181,-2.270159,-0.564691,-1.014613,-0.186807,0.135753,-0.617959,0.289103,0.254865,Negative
1.127111,2.786174,3.186044,0.397468,-2.564655,-2.402791,5.222913,-2.2909,-2.453381,0.679975,1.178354,-1.605048,Positive
-5.126987,-0.116886,-3.19585,-6.999868,3.792729,-1.279503,-1.38028,1.420684,-1.044411,-0.340998,0.01323,0.15683,Negative
0.616164,-4.413324,0.368911,-2.998205,1.087611,-2.706809,-4.007823,-1.945008,0.279243,1.746088,1.279853,-0.329446,Negative
-0.917939,0.90711,-4.837195,-2.261314,1.796954,0.806101,-0.035305,1.13981,0.329414,-1.519007,-0.635063,-0.084511,Positive
-0.194328,3.020921,-1.097101,0.313901,-1.481111,-1.920696,0.921782,-0.537674,-1.329057,2.256172,-2.03124,-0.585841,Negative
-8.590258,-3.891176,6.149557,2.569033,-2.076578,3.506722,-0.112826,0.193427,0.317554,0.368767,-0.387693,0.548898,Negative
-0.136428,1.581731,-2.564865,0.348656,-2.138767,-2.917627,1.570081,2.316676,-0.48092,-1.579663,0.076489,1.090587,Negative
3.209859,-1.255671,-1.943294,1.040992,2.302699,0.6598,0.000814,-0.155239,-0.95661,0.232486,-0.391138,-0.660215,Negative
-5.12669,7.877416,8.876016,-8.131674,0.078555,2.905114,-0.74375,-0.455945,-2.452662,-0.425877,0.860576,-0.072098,Negative
-8.004491,0.044077,1.265937,-0.107495,0.566108,1.076363,1.018027,-0.386037,0.705102,-0.764866,0.143992,-0.221176,Positive
2.367283,0.793473,4.953249,5.48174,-0.718059,-0.444965,2.735245,0.19991,-1.266676,-1.001259,1.748845,0.228359,Negative
6.876845,-2.892517,3.880891,0.415936,-0.790744,0.400878,0.005366,0.553528,0.077466,0.136901,-1.224427,1.582191,Negative
4.328733,0.823483,-0.207807,-0.317573,-3.240762,-1.811391,1.547858,-0.425627,-0.538744,2.650292,-1.606194,-3.111246,Negative
3.094196,0.159177,-0.165988,2.274815,-1.281026,1.112234,0.282462,0.234325,0.327476,-0.482392,-0.589755,-1.086905,Positive
0.288873,1.301883,0.373348,4.212501,0.600203,2.734133,0.097856,0.870075,0.100251,-0.092978,0.96176,-1.874863,Negative
2.557198,1.278327,-3.350521,-2.128041,-2.542875,2.705796,-1.068742,1.549855,-0.476822,-0.121959,1.317233,0.854908,Negative
-2.188539,2.46331,3.015659,-0.333042,4.886327,-1.132285,-1.28793,1.126123,-1.471039,-0.63133,-1.472698,0.743328,Negative
-1.172393,1.361544,-3.692482,0.94503,3.227373,-1.339822,-0.94854,1.710593,0.697543,-0.211402,1.252825,0.655068,Negative
-0.640514,-1.70066,-0.677702,0.54908,-3.251773,-3.499111,-1.171602,0.203118,1.233952,-1.560127,-2.419946,-0.313922,Negative
2.1624,6.056017,-6.014478,0.752793,-2.547137,-0.881047,-0.019165,0.349875,0.603486,-2.031477,0.264436,-0.375081,Negative
-0.57764,3.053258,-0.783501,-2.25733,-0.011238,-1.709943,-0.123193,1.82687,-1.100924,-0.360705,0.600191,0.530551,Negative
-2.209776,2.359362,-2.285635,-0.537033,2.601974,-3.455486,0.743234,-0.096437,-0.893378,0.677734,-0.419439,-0.484741,Positive
-0.034169,1.920792,0.413838,-3.367808,-3.963518,-1.205794,1.065808,1.228376,1.861294,-0.5799,-2.039814,1.454419,Negative
-1.027222,-3.299398,-3.165244,-2.804503,0.958079,-0.375938,-2.569488,-2.117732,-0.650908,-0.231459,0.112554,0.586912,Negative
-2.363319,1.057339,1.967066,5.731102,0.094609,2.283063,0.267125,1.113684,0.982116,0.100388,0.920375,-1.32891,Negative
5.708903,-5.473603,-2.497271,0.137044,-0.59577,5.627396,-0.753787,-0.22686,-1.573194,-1.096509,-0.780252,-0.384178,Positive
-3.671739,0.53164,-0.232994,-0.199253,3.26587,-1.641341,1.152409,2.145613,0.890189,0.971955,-0.244123,1.486415,Negative
2.789794,6.52142,3.335895,-4.917053,-0.791107,3.536698,-1.752598,0.340195,-2.362309,0.932004,-0.875264,0.37924,Negative
4.684513,0.272603,2.033764,2.003215,-0.505908,-1.377328,0.077493,-0.048571,-2.316338,3.137918,-0.158648,0.658441,Negative
0.04372,-0.055466,1.567298,0.67187,-0.826263,-0.515647,0.385643,0.026366,-0.703586,-0.14881,-0.200578,-0.478265,Negative
-2.492644,2.466432,-0.237155,-0.947866,-2.037504,0.81578,-1.431503,0.968362,0.559113,-0.895599,-0.38417,0.502934,Positive
-1.537187,-1.838985,-0.705482,-1.638458,3.558475,4.381216,1.139624,1.615186,0.233613,-0.601782,-1.139775,-0.273348,Negative
-2.920337,-3.206693,-0.514809,0.510275,-0.700457,-2.73702,2.21992,-0.677493,-0.572602,-2.117274,0.153787,-0.303695,Negative
2.069405,-0.630707,-1.354967,-0.942628,1.683461,1.960761,0.957085,-3.08649,1.249964,0.213144,0.990952,-0.149817,Negative
0.643594,-4.982308,-2.078984,-6.520983,-0.149597,-4.494949,1.863035,-0.113873,-1.78468,-0.28308,1.246987,-0.530644,Negative
-6.155113,1.897959,1.723692,0.629515,-2.238334,0.726374,-1.318126,1.323753,0.684129,-0.460065,-0.607461,-0.991021,Negative
-1.332773,-3.478323,0.264283,-2.844886,-4.956488,0.300562,2.369945,1.629058,-2.596928,-2.381171,3.190857,-0.659172,Negative
-0.70286,-1.345576,-0.069847,-4.247792,0.870904,0.489604,4.514006,-0.220667,-3.018313,2.968001,-1.357036,-1.048046,Negative
-0.854069,4.036812,-4.277092,0.400688,-0.998443,0.917891,0.790579,-1.994521,-1.574076,0.708858,-1.434079,-1.196312,Negative
-1.310345,4.32232,-1.192563,-3.70806,-1.616817,-0.264459,-2.593507,-2.073833,-1.609739,1.020497,-0.687427,0.41734,Negative
4.121292,0.550286,-1.912249,0.834345,0.812543,-1.136231,0.789752,-0.219138,1.170211,-0.614322,0.206195,0.424611,Positive
-3.987436,1.757313,-2.836753,1.154942,-0.714093,-0.895049,2.067833,2.117372,0.576681,1.024073,0.275858,0.730019,Negative
